case:concept:name;concept:name;concept:flops;concept:operation;concept:kernel;timestamp:start;timestamp:end
algorithm49;gemv_200;200;tmp268 = (Z18^T tmp21);gemv!('T', 1.0, ml3, ml4, 0.0, ml6);1.671791939837446e9;1.671791939837465e9
algorithm49;gemv_10;10;tmp269 = (W19^-1 tmp268);gemv!('N', 1.0, ml3, ml6, 0.0, ml7);1.671791939837465e9;1.671791939837465e9
algorithm96;LAPACK.potrf_3.33e+08;3.33e+08;(L7 L7^T) = M;LAPACK.potrf!('L', ml1);1.671791939907593e9;1.671791939910285e9
algorithm96;trsm_1e+07;1e+07;tmp12 = (L7^-1 X);trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);1.671791939910285e9;1.671791939910783e9
algorithm96;syrk_1e+05;1e+05;tmp14 = (tmp12^T tmp12);syrk!('L', 'T', 1.0, ml0, 0.0, ml3);1.671791939910783e9;1.671791939910807e9
algorithm96;ml4, ml3 = LAPACK.syev_3.43e+03;3.43e+03;(Z18 W19 Z18^T) = tmp14;ml4, ml3 = LAPACK.syev!('V', 'L', ml3);1.671791939910807e9;1.671791939910849e9
algorithm96;gemm_2e+05;2e+05;tmp477 = (Z18^T tmp12^T);gemm!('T', 'T', 1.0, ml3, ml0, 0.0, ml5);1.671791939910849e9;1.671791939993095e9
algorithm96;trsv_1e+04;1e+04;tmp478 = (W19^-1 tmp477);trsv!('L', 'N', 'N', ml1, ml2);1.671791939993095e9;1.671791939993455e9
algorithm96;gemm_1e+06;1e+06;tmp68 = (L7^-1 y);gemm!('N', 'N', 1.0, ml3, ml5, 0.0, ml6);1.671791939993455e9;1.671791939993506e9
algorithm96;gemv_2e+05;2e+05;tmp87 = (Z18 tmp478);gemv!('N', 1.0, ml6, ml2, 0.0, ml7);1.671791939993506e9;1.671791939993542e9
algorithm56;LAPACK.potrf_3.33e+08;3.33e+08;(L7 L7^T) = M;LAPACK.potrf!('L', ml1);1.671791939995391e9;1.671791939998241e9
algorithm56;trsv_1e+06;1e+06;tmp68 = (L7^-1 y);trsv!('L', 'N', 'N', ml1, ml2);1.671791939998241e9;1.671791939998491e9
algorithm56;trsm_1e+07;1e+07;tmp12 = (L7^-1 X);trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);1.671791939998491e9;1.671791939998874e9
algorithm56;gemm_2e+05;2e+05;tmp14 = (tmp12^T tmp12);gemm!('T', 'N', 1.0, ml0, ml0, 0.0, ml3);1.671791939998874e9;1.671791939998897e9
algorithm56;LAPACK.potrf_333;333;(L15 L15^T) = tmp14;LAPACK.potrf!('L', ml3);1.671791939998897e9;1.6717919399989e9
algorithm56;trsm_1e+05;1e+05;tmp70 = (tmp12 L15^-T);trsm!('R', 'L', 'T', 'N', 1.0, ml3, ml0);1.6717919399989e9;1.67179193999892e9
algorithm56;gemv_2e+04;2e+04;tmp23 = (tmp70^T tmp68);gemv!('T', 1.0, ml0, ml2, 0.0, ml4);1.67179193999892e9;1.671791939998928e9
algorithm56;trsv_100;100;tmp24 = (L15^-T tmp23);trsv!('L', 'T', 'N', ml3, ml4);1.671791939998928e9;1.671791939998929e9
algorithm54;LAPACK.potrf_3.33e+08;3.33e+08;(L7 L7^T) = M;LAPACK.potrf!('L', ml1);1.671791940003404e9;1.671791940006186e9
algorithm54;trsm_1e+07;1e+07;tmp12 = (L7^-1 X);trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);1.671791940006186e9;1.671791940006699e9
algorithm54;syrk_1e+05;1e+05;tmp14 = (tmp12^T tmp12);syrk!('L', 'T', 1.0, ml0, 0.0, ml3);1.671791940006699e9;1.671791940006724e9
