case:concept:name;case:flops;case:num_kernels
algorithm1;3.24e+05;3
algorithm5;3.71e+06;3
algorithm4;3.35e+06;3
algorithm0;3.24e+05;3
algorithm3;2.03e+06;3
algorithm2;1.83e+06;3
