case:concept:name;concept:name;concept:flops;concept:kernel;concept:operation;timestamp:start
algorithm0;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml4);tmp3 = (C D);2022-12-10 19:24:56.771164
algorithm0;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml1, ml4, 0.0, ml5);tmp5 = (B tmp3);2022-12-10 19:24:57.771164
algorithm0;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml0, ml5, 0.0, ml6);tmp6 = (A tmp5);2022-12-10 19:24:58.771164
algorithm2;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml1, ml2, 0.0, ml4);tmp2 = (B C);2022-12-10 19:28:16.771164
algorithm2;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml0, ml4, 0.0, ml5);tmp4 = (A tmp2);2022-12-10 19:28:17.771164
algorithm2;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml5, ml3, 0.0, ml6);tmp6 = (tmp4 D);2022-12-10 19:28:18.771164
algorithm4;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml1, ml2, 0.0, ml4);tmp2 = (B C);2022-12-10 19:31:36.771164
algorithm4;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml4, ml3, 0.0, ml5);tmp5 = (tmp2 D);2022-12-10 19:31:37.771164
algorithm4;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml0, ml5, 0.0, ml6);tmp6 = (A tmp5);2022-12-10 19:31:38.771164
algorithm1;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml4);tmp1 = (A B);2022-12-10 19:26:36.771164
algorithm1;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml5);tmp3 = (C D);2022-12-10 19:26:37.771164
algorithm1;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml4, ml5, 0.0, ml6);tmp6 = (tmp1 tmp3);2022-12-10 19:26:38.771164
algorithm5;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml4);tmp1 = (A B);2022-12-10 19:33:16.771164
algorithm5;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml4, ml2, 0.0, ml5);tmp4 = (tmp1 C);2022-12-10 19:33:17.771164
algorithm5;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml5, ml3, 0.0, ml6);tmp6 = (tmp4 D);2022-12-10 19:33:18.771164
algorithm3;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml4);tmp3 = (C D);2022-12-10 19:29:56.771164
algorithm3;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml5);tmp1 = (A B);2022-12-10 19:29:57.771164
algorithm3;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml5, ml4, 0.0, ml6);tmp6 = (tmp1 tmp3);2022-12-10 19:29:58.771164
