case:concept:name;case:flops;case:num_kernels
algorithm87;4.65e+08;8
algorithm83;4.65e+08;8
algorithm57;4.55e+08;8
algorithm40;4.48e+08;10
algorithm65;4.56e+08;10
algorithm8;4.45e+08;8
algorithm64;4.56e+08;10
algorithm0;4.45e+08;8
algorithm53;4.55e+08;8
algorithm46;4.49e+08;10
algorithm49;4.55e+08;8
algorithm96;4.66e+08;10
algorithm56;4.55e+08;8
algorithm54;4.55e+08;8
algorithm39;4.48e+08;10
algorithm14;4.46e+08;10
algorithm10;4.46e+08;10
algorithm93;4.66e+08;10
algorithm72;4.57e+08;8
algorithm91;4.66e+08;10
algorithm2;4.45e+08;8
algorithm36;4.48e+08;10
algorithm97;4.66e+08;10
algorithm59;4.56e+08;10
algorithm6;4.45e+08;8
algorithm95;4.66e+08;10
algorithm70;4.57e+08;8
algorithm55;4.55e+08;8
algorithm31;4.48e+08;8
algorithm62;4.56e+08;10
algorithm69;4.57e+08;8
algorithm4;4.45e+08;8
algorithm9;4.46e+08;10
algorithm33;4.48e+08;8
algorithm74;4.58e+08;8
algorithm99;4.66e+08;10
algorithm41;4.49e+08;10
algorithm26;4.48e+08;8
algorithm7;4.45e+08;8
algorithm51;4.55e+08;8
algorithm1;4.45e+08;8
algorithm17;4.47e+08;8
algorithm11;4.46e+08;10
algorithm42;4.49e+08;10
algorithm15;4.46e+08;10
algorithm52;4.55e+08;8
algorithm24;4.47e+08;8
algorithm67;4.56e+08;10
algorithm20;4.47e+08;8
algorithm60;4.56e+08;10
algorithm94;4.66e+08;10
algorithm5;4.45e+08;8
algorithm84;4.65e+08;8
algorithm58;4.55e+08;8
algorithm50;4.55e+08;8
algorithm88;4.66e+08;10
algorithm37;4.48e+08;10
algorithm73;4.57e+08;8
algorithm82;4.65e+08;8
algorithm79;4.58e+08;8
algorithm29;4.48e+08;8
algorithm19;4.47e+08;8
algorithm32;4.48e+08;8
algorithm61;4.56e+08;10
algorithm80;4.65e+08;8
algorithm48;4.55e+08;8
algorithm45;4.49e+08;10
algorithm68;4.57e+08;8
algorithm92;4.66e+08;10
algorithm34;4.48e+08;10
algorithm44;4.49e+08;10
algorithm22;4.47e+08;8
algorithm12;4.46e+08;10
algorithm89;4.66e+08;10
algorithm43;4.49e+08;10
algorithm13;4.46e+08;10
algorithm90;4.66e+08;10
algorithm76;4.58e+08;8
algorithm85;4.65e+08;8
algorithm77;4.58e+08;8
algorithm75;4.58e+08;8
algorithm78;4.58e+08;8
algorithm30;4.48e+08;8
algorithm23;4.47e+08;8
algorithm71;4.57e+08;8
algorithm3;4.45e+08;8
algorithm86;4.65e+08;8
algorithm47;4.49e+08;10
algorithm27;4.48e+08;8
algorithm66;4.56e+08;10
algorithm35;4.48e+08;10
algorithm25;4.48e+08;8
algorithm38;4.48e+08;10
algorithm16;4.47e+08;8
algorithm18;4.47e+08;8
algorithm28;4.48e+08;8
algorithm81;4.65e+08;8
algorithm63;4.56e+08;10
algorithm21;4.47e+08;8
algorithm98;4.66e+08;10
