case:concept:name;concept:name;concept:flops;concept:operation;concept:kernel;timestamp:start;timestamp:end
algorithm5_11;gemm_1.8e+06;1.8e+06;tmp5 = (tmp2 D);gemm!('N', 'N', 1.0, ml4, ml3, 0.0, ml5);1.67000538943075e9;1.670005389430862e9
algorithm5_11;gemm_1.8e+06;1.8e+06;tmp6 = (A tmp5);gemm!('N', 'N', 1.0, ml0, ml5, 0.0, ml6);1.670005389430862e9;1.67000538943096e9
algorithm0_10;gemm_1.08e+05;1.08e+05;tmp3 = (C D);gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml4);1.670005389431314e9;1.67000538943132e9
algorithm0_10;gemm_1.08e+05;1.08e+05;tmp1 = (A B);gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml5);1.67000538943132e9;1.67000538943133e9
algorithm0_10;gemm_1.08e+05;1.08e+05;tmp6 = (tmp1 tmp3);gemm!('N', 'N', 1.0, ml5, ml4, 0.0, ml6);1.67000538943133e9;1.670005389431386e9
algorithm2_12;gemm_1.08e+05;1.08e+05;tmp1 = (A B);gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml4);1.670005389431738e9;1.670005389431747e9
algorithm2_12;gemm_9.72e+04;9.72e+04;tmp4 = (tmp1 C);gemm!('N', 'N', 1.0, ml4, ml2, 0.0, ml5);1.670005389431747e9;1.670005389431801e9
algorithm2_12;gemm_1.62e+06;1.62e+06;tmp6 = (tmp4 D);gemm!('N', 'N', 1.0, ml5, ml3, 0.0, ml6);1.670005389431801e9;1.670005389431901e9
algorithm5_10;gemm_1.08e+05;1.08e+05;tmp2 = (B C);gemm!('N', 'N', 1.0, ml1, ml2, 0.0, ml4);1.670005389432224e9;1.67000538943229e9
algorithm5_10;gemm_1.8e+06;1.8e+06;tmp5 = (tmp2 D);gemm!('N', 'N', 1.0, ml4, ml3, 0.0, ml5);1.67000538943229e9;1.670005389432384e9
algorithm5_10;gemm_1.8e+06;1.8e+06;tmp6 = (A tmp5);gemm!('N', 'N', 1.0, ml0, ml5, 0.0, ml6);1.670005389432384e9;1.670005389432472e9
algorithm2_11;gemm_1.08e+05;1.08e+05;tmp1 = (A B);gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml4);1.670005389432813e9;1.670005389432822e9
algorithm2_11;gemm_9.72e+04;9.72e+04;tmp4 = (tmp1 C);gemm!('N', 'N', 1.0, ml4, ml2, 0.0, ml5);1.670005389432822e9;1.670005389432877e9
algorithm2_11;gemm_1.62e+06;1.62e+06;tmp6 = (tmp4 D);gemm!('N', 'N', 1.0, ml5, ml3, 0.0, ml6);1.670005389432877e9;1.670005389432964e9
algorithm1_11;gemm_1.08e+05;1.08e+05;tmp1 = (A B);gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml4);1.670005389433289e9;1.670005389433295e9
algorithm1_11;gemm_1.08e+05;1.08e+05;tmp3 = (C D);gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml5);1.670005389433295e9;1.670005389433305e9
algorithm1_11;gemm_1.08e+05;1.08e+05;tmp6 = (tmp1 tmp3);gemm!('N', 'N', 1.0, ml4, ml5, 0.0, ml6);1.670005389433305e9;1.670005389433359e9
algorithm1_10;gemm_1.08e+05;1.08e+05;tmp1 = (A B);gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml4);1.670005389433676e9;1.670005389433682e9
algorithm1_10;gemm_1.08e+05;1.08e+05;tmp3 = (C D);gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml5);1.670005389433682e9;1.6700053894337e9
algorithm1_10;gemm_1.08e+05;1.08e+05;tmp6 = (tmp1 tmp3);gemm!('N', 'N', 1.0, ml4, ml5, 0.0, ml6);1.6700053894337e9;1.670005389433758e9
