case:concept:name;concept:name;concept:flops;concept:kernel;concept:operation;timestamp:start
algorithm0;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml1, ml2, 0.0, ml4);tmp2 = (B C);2022-12-11 12:00:58.541541
algorithm0;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml0, ml4, 0.0, ml5);tmp4 = (A tmp2);2022-12-11 12:00:59.541541
algorithm0;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml5, ml3, 0.0, ml6);tmp6 = (tmp4 D);2022-12-11 12:01:00.541541
algorithm2;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml4);tmp3 = (C D);2022-12-11 12:04:18.541541
algorithm2;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml1, ml4, 0.0, ml5);tmp5 = (B tmp3);2022-12-11 12:04:19.541541
algorithm2;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml0, ml5, 0.0, ml6);tmp6 = (A tmp5);2022-12-11 12:04:20.541541
algorithm4;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml4);tmp3 = (C D);2022-12-11 12:07:38.541541
algorithm4;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml5);tmp1 = (A B);2022-12-11 12:07:39.541541
algorithm4;gemm_2.01e+09;2.01e+09;gemm!('N', 'N', 1.0, ml5, ml4, 0.0, ml6);tmp6 = (tmp1 tmp3);2022-12-11 12:07:40.541541
algorithm1;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml1, ml2, 0.0, ml4);tmp2 = (B C);2022-12-11 12:02:38.541541
algorithm1;gemm_1.99e+09;1.99e+09;gemm!('N', 'N', 1.0, ml4, ml3, 0.0, ml5);tmp5 = (tmp2 D);2022-12-11 12:02:39.541541
algorithm1;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml0, ml5, 0.0, ml6);tmp6 = (A tmp5);2022-12-11 12:02:40.541541
algorithm5;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml4);tmp1 = (A B);2022-12-11 12:09:18.541541
algorithm5;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml5);tmp3 = (C D);2022-12-11 12:09:19.541541
algorithm5;gemm_2.01e+09;2.01e+09;gemm!('N', 'N', 1.0, ml4, ml5, 0.0, ml6);tmp6 = (tmp1 tmp3);2022-12-11 12:09:20.541541
algorithm3;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml4);tmp1 = (A B);2022-12-11 12:05:58.541541
algorithm3;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml4, ml2, 0.0, ml5);tmp4 = (tmp1 C);2022-12-11 12:05:59.541541
algorithm3;gemm_2e+09;2e+09;gemm!('N', 'N', 1.0, ml5, ml3, 0.0, ml6);tmp6 = (tmp4 D);2022-12-11 12:06:00.541541
