case:concept:name;concept:name;concept:flops;concept:operation;concept:kernel;timestamp:start;timestamp:end
algorithm0_118;gemm_2.06e+09;2.06e+09;tmp2 = (B C);gemm!('N', 'N', 1.0, ml1, ml2, 0.0, ml4);1.670755144025831e9;1.67075514403254e9
algorithm0_118;gemm_1.96e+09;1.96e+09;tmp5 = (tmp2 D);gemm!('N', 'N', 1.0, ml4, ml3, 0.0, ml5);1.67075514403254e9;1.670755144039102e9
algorithm0_118;gemm_1.99e+09;1.99e+09;tmp6 = (A tmp5);gemm!('N', 'N', 1.0, ml0, ml5, 0.0, ml6);1.670755144039102e9;1.670755144045622e9
algorithm1_16;gemm_2.06e+09;2.06e+09;tmp2 = (B C);gemm!('N', 'N', 1.0, ml1, ml2, 0.0, ml4);1.670755144056101e9;1.670755144063096e9
algorithm1_16;gemm_1.97e+09;1.97e+09;tmp4 = (A tmp2);gemm!('N', 'N', 1.0, ml0, ml4, 0.0, ml5);1.670755144063096e9;1.670755144069942e9
algorithm1_16;gemm_1.99e+09;1.99e+09;tmp6 = (tmp4 D);gemm!('N', 'N', 1.0, ml5, ml3, 0.0, ml6);1.670755144069942e9;1.670755144076361e9
algorithm5_17;gemm_2.09e+09;2.09e+09;tmp1 = (A B);gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml4);1.670755144090309e9;1.670755144097134e9
algorithm5_17;gemm_2.08e+09;2.08e+09;tmp3 = (C D);gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml5);1.670755144097134e9;1.67075514410409e9
algorithm5_17;gemm_2.11e+09;2.11e+09;tmp6 = (tmp1 tmp3);gemm!('N', 'N', 1.0, ml4, ml5, 0.0, ml6);1.67075514410409e9;1.670755144110989e9
algorithm4_113;gemm_2.08e+09;2.08e+09;tmp3 = (C D);gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml4);1.670755144118094e9;1.670755144124584e9
algorithm4_113;gemm_2.09e+09;2.09e+09;tmp1 = (A B);gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml5);1.670755144124584e9;1.670755144131396e9
algorithm4_113;gemm_2.11e+09;2.11e+09;tmp6 = (tmp1 tmp3);gemm!('N', 'N', 1.0, ml5, ml4, 0.0, ml6);1.670755144131396e9;1.670755144137628e9
algorithm2_112;gemm_2.08e+09;2.08e+09;tmp3 = (C D);gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml4);1.670755144164808e9;1.670755144171911e9
algorithm2_112;gemm_2.08e+09;2.08e+09;tmp5 = (B tmp3);gemm!('N', 'N', 1.0, ml1, ml4, 0.0, ml5);1.670755144171911e9;1.670755144179383e9
algorithm2_112;gemm_1.99e+09;1.99e+09;tmp6 = (A tmp5);gemm!('N', 'N', 1.0, ml0, ml5, 0.0, ml6);1.670755144179383e9;1.670755144186277e9
algorithm1_18;gemm_2.06e+09;2.06e+09;tmp2 = (B C);gemm!('N', 'N', 1.0, ml1, ml2, 0.0, ml4);1.670755144200375e9;1.670755144207184e9
algorithm1_18;gemm_1.97e+09;1.97e+09;tmp4 = (A tmp2);gemm!('N', 'N', 1.0, ml0, ml4, 0.0, ml5);1.670755144207184e9;1.670755144279964e9
algorithm1_18;gemm_1.99e+09;1.99e+09;tmp6 = (tmp4 D);gemm!('N', 'N', 1.0, ml5, ml3, 0.0, ml6);1.670755144279964e9;1.670755144286611e9
algorithm3_111;gemm_2.09e+09;2.09e+09;tmp1 = (A B);gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml4);1.670755144291296e9;1.67075514429815e9
algorithm3_111;gemm_2.09e+09;2.09e+09;tmp4 = (tmp1 C);gemm!('N', 'N', 1.0, ml4, ml2, 0.0, ml5);1.67075514429815e9;1.670755144304275e9
