case:concept:name;case:flops;case:num_kernels
algorithm0;6e+09;3
algorithm2;6.14e+09;3
algorithm4;6.28e+09;3
algorithm1;6.01e+09;3
algorithm5;6.28e+09;3
algorithm3;6.17e+09;3
