case:concept:name;concept:name;concept:flops;concept:operation;concept:kernel;timestamp:start;timestamp:end
algorithm4_52;gemm_1.08e+05;1.08e+05;tmp2 = (B C);gemm!('N', 'N', 1.0, ml1, ml2, 0.0, ml4);1.670692611209113e9;1.670692611209184e9
algorithm4_52;gemm_1.62e+06;1.62e+06;tmp4 = (A tmp2);gemm!('N', 'N', 1.0, ml0, ml4, 0.0, ml5);1.670692611209184e9;1.670692611209219e9
algorithm4_52;gemm_1.62e+06;1.62e+06;tmp6 = (tmp4 D);gemm!('N', 'N', 1.0, ml5, ml3, 0.0, ml6);1.670692611209219e9;1.670692611209242e9
algorithm1_50;gemm_1.08e+05;1.08e+05;tmp1 = (A B);gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml4);1.670692611209426e9;1.670692611209437e9
algorithm1_50;gemm_1.08e+05;1.08e+05;tmp3 = (C D);gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml5);1.670692611209437e9;1.670692611209448e9
algorithm1_50;gemm_1.08e+05;1.08e+05;tmp6 = (tmp1 tmp3);gemm!('N', 'N', 1.0, ml4, ml5, 0.0, ml6);1.670692611209448e9;1.670692611209457e9
algorithm4_51;gemm_1.08e+05;1.08e+05;tmp2 = (B C);gemm!('N', 'N', 1.0, ml1, ml2, 0.0, ml4);1.67069261120967e9;1.670692611209715e9
algorithm4_51;gemm_1.62e+06;1.62e+06;tmp4 = (A tmp2);gemm!('N', 'N', 1.0, ml0, ml4, 0.0, ml5);1.670692611209715e9;1.670692611209761e9
algorithm4_51;gemm_1.62e+06;1.62e+06;tmp6 = (tmp4 D);gemm!('N', 'N', 1.0, ml5, ml3, 0.0, ml6);1.670692611209761e9;1.670692611209808e9
algorithm5_52;gemm_1.08e+05;1.08e+05;tmp2 = (B C);gemm!('N', 'N', 1.0, ml1, ml2, 0.0, ml4);1.670692611210047e9;1.670692611210082e9
algorithm5_52;gemm_1.8e+06;1.8e+06;tmp5 = (tmp2 D);gemm!('N', 'N', 1.0, ml4, ml3, 0.0, ml5);1.670692611210082e9;1.670692611210128e9
algorithm5_52;gemm_1.8e+06;1.8e+06;tmp6 = (A tmp5);gemm!('N', 'N', 1.0, ml0, ml5, 0.0, ml6);1.670692611210128e9;1.67069261121017e9
algorithm2_52;gemm_1.08e+05;1.08e+05;tmp1 = (A B);gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml4);1.670692611210411e9;1.67069261121042e9
algorithm2_52;gemm_9.72e+04;9.72e+04;tmp4 = (tmp1 C);gemm!('N', 'N', 1.0, ml4, ml2, 0.0, ml5);1.67069261121042e9;1.670692611210451e9
algorithm2_52;gemm_1.62e+06;1.62e+06;tmp6 = (tmp4 D);gemm!('N', 'N', 1.0, ml5, ml3, 0.0, ml6);1.670692611210451e9;1.670692611210493e9
algorithm3_50;gemm_1.08e+05;1.08e+05;tmp3 = (C D);gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml4);1.670692611210734e9;1.670692611210743e9
algorithm3_50;gemm_1.2e+05;1.2e+05;tmp5 = (B tmp3);gemm!('N', 'N', 1.0, ml1, ml4, 0.0, ml5);1.670692611210743e9;1.670692611210788e9
algorithm3_50;gemm_1.8e+06;1.8e+06;tmp6 = (A tmp5);gemm!('N', 'N', 1.0, ml0, ml5, 0.0, ml6);1.670692611210788e9;1.67069261121084e9
algorithm0_52;gemm_1.08e+05;1.08e+05;tmp3 = (C D);gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml4);1.67069261121108e9;1.670692611211087e9
algorithm0_52;gemm_1.08e+05;1.08e+05;tmp1 = (A B);gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml5);1.670692611211087e9;1.670692611211096e9
algorithm0_52;gemm_1.08e+05;1.08e+05;tmp6 = (tmp1 tmp3);gemm!('N', 'N', 1.0, ml5, ml4, 0.0, ml6);1.670692611211096e9;1.670692611211124e9
algorithm5_51;gemm_1.08e+05;1.08e+05;tmp2 = (B C);gemm!('N', 'N', 1.0, ml1, ml2, 0.0, ml4);1.670692611211367e9;1.670692611211402e9
algorithm5_51;gemm_1.8e+06;1.8e+06;tmp5 = (tmp2 D);gemm!('N', 'N', 1.0, ml4, ml3, 0.0, ml5);1.670692611211402e9;1.67069261121145e9
